epoch,loss,val_loss
0,0.007027419749647379,0.014587664976716042
1,0.006154594477266073,0.006746458355337381
2,0.006978470832109451,0.011376596055924892
3,0.005437040701508522,0.006218508817255497
4,0.00496576726436615,0.011642198078334332
5,0.005033583380281925,0.0054042455740273
6,0.005498589016497135,0.008470200933516026
7,0.004812778905034065,0.023288758471608162
8,0.004868142306804657,0.00792081281542778
9,0.005688776727765799,0.009206399321556091
10,0.005617257207632065,0.004043871536850929
11,0.005420692265033722,0.009206089191138744
12,0.005879167467355728,0.01151796244084835
13,0.0051044258289039135,0.023907968774437904
14,0.0056833322159945965,0.00937592051923275
15,0.005378414876759052,0.005000677425414324
